JAMES 5 8 1 3742 0 7
JOHN 3 6 1 2609 0 1
ROBERT 2 2 1 2180 0 7
MICHAEL 8 6 1 3644 0 7
WILLIAM 4 9 3 1369 0 10
DAVID 8 3 3 2066 0 7
RICHARD 4 5 3 4275 0 1
CHARLES 8 3 3 4243 0 4
JOSEPH 8 2 1 1460 0 4
THOMAS 10 10 2 3805 0 9
CHRISTOPHER 9 9 1 3718 0 1
DANIEL 3 7 1 4174 0 2
PAUL 7 1 2 1843 0 1
MARK 5 4 1 4212 0 4
DONALD 5 4 1 4408 0 10
GEORGE 1 7 1 1338 0 5
KENNETH 6 8 1 1592 0 4
STEVEN 6 4 2 2488 0 9
EDWARD 1 8 3 3620 0 7
BRIAN 8 6 3 3266 0 9
RONALD 6 1 2 2450 0 6
ANTHONY 8 6 1 2677 0 8
KEVIN 3 9 3 1364 0 8
JASON 8 3 2 2352 0 3
MATTHEW 8 2 2 3316 0 4
GARY 10 5 2 1917 0 10
TIMOTHY 10 1 1 2905 0 2
JOSE 10 9 3 2963 0 5
LARRY 4 7 3 4008 0 4
JEFFREY 5 4 2 3252 0 4
FRANK 3 3 1 2588 0 10
SCOTT 5 7 3 3874 0 7
ERIC 5 3 1 2085 0 4
STEPHEN 1 6 3 2638 0 9
ANDREW 10 3 1 1844 0 7
RAYMOND 4 8 2 3871 0 3
GREGORY 3 10 3 1886 0 5
JOSHUA 10 5 3 3862 0 9
JERRY 3 6 2 4889 0 5
DENNIS 10 10 3 1342 0 9
WALTER 3 7 3 3869 0 2
PATRICK 9 5 1 1009 0 2
PETER 3 8 2 1304 0 3
HAROLD 2 5 3 1224 0 5
DOUGLAS 5 8 2 1712 0 10
HENRY 1 8 3 4513 0 7
CARL 5 9 3 3943 0 3
ARTHUR 10 6 2 4155 0 4
RYAN 2 2 2 3105 0 1
ROGER 7 5 2 3341 0 8
JOE 6 10 3 2874 0 8
JUAN 10 9 3 1491 0 8
JACK 6 8 1 4332 0 7
ALBERT 7 10 3 1184 0 7
JONATHAN 1 4 1 3511 0 8
JUSTIN 4 6 3 2414 0 5
TERRY 4 6 2 2828 0 9
GERALD 4 8 2 2769 0 6
KEITH 9 4 3 4711 0 8
SAMUEL 5 6 2 1260 0 5
WILLIE 6 5 1 3415 0 9
RALPH 2 6 1 1667 0 3
LAWRENCE 4 8 3 4525 0 2
NICHOLAS 10 5 2 4534 0 8
ROY 2 9 1 4811 0 1
BENJAMIN 3 7 1 1133 0 9
BRUCE 9 10 1 4475 0 10
BRANDON 4 1 3 2497 0 5
ADAM 6 8 3 1831 0 8
HARRY 4 4 3 4412 0 9
FRED 6 10 2 3875 0 7
WAYNE 4 1 3 2482 0 8
BILLY 5 6 1 4959 0 4
STEVE 8 9 1 4343 0 5
LOUIS 3 4 3 4907 0 2
JEREMY 3 1 2 4994 0 10
AARON 5 3 2 4522 0 8
RANDY 9 2 3 1794 0 2
HOWARD 5 7 1 4612 0 2
EUGENE 7 7 3 4197 0 9
CARLOS 4 5 2 3806 0 9
RUSSELL 9 5 3 4295 0 9
BOBBY 9 2 1 4028 0 1
VICTOR 8 9 3 3688 0 2
MARTIN 8 4 2 2462 0 6
ERNEST 3 8 2 3922 0 6
PHILLIP 6 6 3 3858 0 5
TODD 5 5 1 2873 0 6
JESSE 5 5 1 2097 0 3
CRAIG 9 8 3 2587 0 2
ALAN 1 9 3 3530 0 1
SHAWN 9 10 1 2827 0 3
CLARENCE 6 10 3 2327 0 3
SEAN 1 7 3 3017 0 1
PHILIP 5 10 1 2881 0 4
CHRIS 8 2 1 2489 0 7
JOHNNY 2 8 1 4088 0 7
EARL 1 1 1 2324 0 4
JIMMY 9 10 2 3778 0 5
ANTONIO 8 6 1 3785 0 5
DANNY 8 8 1 4348 0 10
BRYAN 3 2 2 1259 0 2
TONY 2 5 1 3513 0 3
LUIS 4 3 1 4821 0 2
MIKE 1 2 1 2401 0 3
STANLEY 1 7 1 1399 0 4
LEONARD 1 7 3 2088 0 1
NATHAN 5 4 3 2662 0 9
DALE 8 5 2 1098 0 2
MANUEL 5 4 2 4287 0 8
RODNEY 5 5 2 3960 0 4
CURTIS 10 8 2 1474 0 4
NORMAN 9 5 1 4597 0 4
ALLEN 5 8 3 2189 0 5
MARVIN 10 6 3 1617 0 8
VINCENT 10 1 1 1671 0 10
GLENN 5 3 2 4144 0 1
JEFFERY 8 8 1 1233 0 7
TRAVIS 7 7 1 3245 0 2
JEFF 1 5 3 2167 0 6
CHAD 1 3 1 3756 0 5
JACOB 1 10 1 3652 0 8
LEE 10 2 2 4906 0 5
MELVIN 2 4 3 3542 0 7
ALFRED 7 3 3 3953 0 9
KYLE 9 7 1 1486 0 1
FRANCIS 1 9 3 4606 0 3
BRADLEY 7 6 3 3569 0 8
JESUS 10 6 3 3859 0 3
HERBERT 7 2 3 3659 0 10
FREDERICK 8 7 1 2192 0 10
RAY 3 1 1 3105 0 2
JOEL 10 5 3 3973 0 6
